產品編號,產品名稱,是否為國外產品,價格,活動類型,地點／景點,標籤
24EEO23MUF-ZP,旅展奧捷德｜德國中古雙堡．維也納．布拉格．庫倫洛夫．哈修塔特湖區．薩爾斯堡．溫泉小鎮．OUTLET購物10日,True,58900.0,"溫泉之旅, 自然景觀, 購物","哈修塔特, 奧捷, 布拉格, 庫倫洛夫, 德國, 維也納","哈修塔特, 奧捷, 布拉格, 庫倫洛夫, 德國, 溫泉之旅, 維也納, 自然景觀, 購物"
24egd04ci-t,預購折3000｜經典德國｜海德堡．新天鵝堡．楚格峰．國王湖．移動城堡小鎮10日(華航),True,90900.0,"文化歷史, 自然景觀","國王湖, 天鵝堡, 德國","國王湖, 天鵝堡, 德國, 文化歷史, 自然景觀"
00314734,美滿如家 SUITES KYOTO CENTRALMIMARU SUITES KYOTO CENTRAL,False,0.0,其他,,", 其他"
241045,屏東-藍皮解憂號觀光列車| 枋寮-臺東當日來回超值版(5/1-9/30),False,198.0,火車旅遊,"屏東, 臺東","屏東, 火車旅遊, 臺東"
24EEN13CI1-T,"感恩奧捷斯｜維也納神奇莫札特體驗館,布拉格,哈修塔特,庫倫諾夫三大世界遺產,布拉提斯拉瓦,華航直飛雙點9日",True,69900.0,文化歷史,"哈修塔特, 奧捷, 布拉格, 維也納","哈修塔特, 奧捷, 布拉格, 文化歷史, 維也納"
24TN911JIN-T,【週三出發】Together一起旅行◎雲端觀霧聖稜雪見◎雲霧步道◎林間步道◎雪霸農場◎新竹迎曦◎3日（四人成行）,False,5399.0,其他,新竹,"其他, 新竹"
24TMO25LIS-T,每人折500｜高山楓葉季保證有房!入住梨山賓館‧福壽山楓醉松廬‧武陵農場秋楓銀杏‧天池/藍茵湖祕境‧蜜蘋果二日｜台中旅遊,False,5399.0,自然景觀,台中,"台中, 自然景觀"
25JH125ITV-ZP,"過年折3,000｜賀歲冬季北海道.保住萬怡.破冰船.雪上活動.熱氣球.小樽.升等帝王活蟹饗宴五日｜四晚溫泉",True,98888.0,"溫泉之旅, 美食, 自然景觀","北海道, 小樽","北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
24EGD04CI-T,預購折3000｜經典德國｜海德堡．新天鵝堡．楚格峰．國王湖．移動城堡小鎮10日(華航),True,90900.0,"文化歷史, 自然景觀","國王湖, 天鵝堡, 德國","國王湖, 天鵝堡, 德國, 文化歷史, 自然景觀"
24TN905XUE-T,【週四出發】Together一起旅行◎雪霸二部曲◎雲端上的觀霧◎遠眺聖稜的雪見◎雲霧步道◎林間步道◎2日（四人成行）,False,5500.0,其他,,", 其他"
00075318,觀霧山莊,,0.0,自然景觀,,", 自然景觀"
24JKN18BXQ-T,旅展優惠｜釜山蔚山旅遊｜海雲台濱海列車.X展望台.多媒體藝術島.希望郵筒.浮誇系火焰鐵板烤肉五日(一站購物彩妝),True,17888.0,"海島旅遊, 火車旅遊, 自然景觀, 藝文體驗, 購物","海雲台, 釜山","海島旅遊, 海雲台, 火車旅遊, 自然景觀, 藝文體驗, 購物, 釜山"
25eu120ci-t,冬遊特選德瑞旅遊｜鐵力士山．阿爾卑斯火車．羅曼蒂克大道．雙城堡．萊茵河遊船10日,True,86900.0,"文化歷史, 火車旅遊, 自然景觀","德瑞, 羅曼蒂克大道, 萊茵河","德瑞, 文化歷史, 火車旅遊, 羅曼蒂克大道, 自然景觀, 萊茵河"
24EEN29MUB-ZP,冬遊奧捷斯匈｜國王湖遊船．四國首都．維也納．布拉格．布達佩斯．庫倫洛夫．哈修塔特湖區．OUTLET(餐全包)10日,True,63900.0,自然景觀,"哈修塔特, 國王湖, 奧捷, 布拉格, 布達佩斯, 庫倫洛夫, 維也納","哈修塔特, 國王湖, 奧捷, 布拉格, 布達佩斯, 庫倫洛夫, 維也納, 自然景觀"
231130006,華信假期-金門自由行、金湖飯店,False,,自然景觀,金門,"自然景觀, 金門"
24JKN197CU-T,釜山慶尚南旅遊｜流燈藝術展示館.泗川海上纜車.晉州矗石樓.海岸列車.汗蒸幕體驗5日(一站購物彩妝),True,22900.0,"火車旅遊, 自然景觀, 藝文體驗, 購物",釜山,"火車旅遊, 自然景觀, 藝文體驗, 購物, 釜山"
NX631:NX618:,台北 - 澳門 來回,True,12840.0,其他,"台北, 澳門","其他, 台北, 澳門"
24TM920ARD-T,台中補助旅遊｜后豐鐵馬道追風趣.走訪大甲媽祖名勝古蹟.知名景點國家漫畫博物館.京滬風味料理.露天夜景鮮蚵餐廳.福華二日,False,3399.0,"夜間活動, 文化歷史, 美食","台中, 后豐鐵馬道, 夜景","台中, 后豐鐵馬道, 夜景, 夜間活動, 文化歷史, 美食"
TWTCHM08,金典綠園道商旅PARK LANE INN,False,0.0,其他,,", 其他"
25EU120CI-T,冬遊特選德瑞旅遊｜鐵力士山．阿爾卑斯火車．羅曼蒂克大道．雙城堡．萊茵河遊船10日,True,86900.0,"文化歷史, 火車旅遊, 自然景觀","德瑞, 羅曼蒂克大道, 萊茵河","德瑞, 文化歷史, 火車旅遊, 羅曼蒂克大道, 自然景觀, 萊茵河"
24JKN18ZEB-ZP,慢遊釜山慶南半自助｜一日自由活動.慢城河東遊.夜遊光影DPIRANG.田浦工具街(一站購物彩妝)五日,True,20900.0,"夜間活動, 自然景觀, 購物",釜山,"夜間活動, 自然景觀, 購物, 釜山"
24JHN06JXH-T,旗艦北海道旅遊｜保住雙百選溫泉.小樽貴賓館.秘境青池.小樽遊船.騎馬體驗.日本和牛.帝王蟹饗宴五日｜商務艙來回,True,99000.0,"溫泉之旅, 美食, 自然景觀","北海道, 小樽","北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
24EEN11CI-T,"冬遊折2千｜克斯奧｜夢幻十六湖,布雷德湖,鹽湖,波斯托伊納鐘乳石洞,小威尼斯,小羅馬10日",True,89900.0,自然景觀,"威尼斯, 尼斯, 羅馬","威尼斯, 尼斯, 羅馬, 自然景觀"
24JKN18ZEF-ZP,慢遊濟州半自助｜一日自由活動.連住市區飯店兩晚.牛島海洋公園.世界遺產城山日出峰.光之地堡.超市補貨(一站彩妝購物)五日,True,17900.0,"文化歷史, 海島旅遊, 自然景觀, 購物","城山日出峰, 海洋公園, 牛島","城山日出峰, 文化歷史, 海島旅遊, 海洋公園, 牛島, 自然景觀, 購物"
25JK125CIK-K,金蛇賀歲折3000｜保住3晚五星諾富特．冰魚節慶典．樂天世界_塔_水族館．韓服遊景福宮．瘋滑雪(一站購物彩妝)五日｜高雄,True,72900.0,"親子旅遊, 豪華, 購物, 雪景","景福宮, 高雄","景福宮, 親子旅遊, 豪華, 購物, 雪景, 高雄"
24TMO29FIS-T,指定日期折1千｜高山楓葉季保證有房!入住飛燕城堡‧福壽山楓醉松廬‧武陵農場秋楓銀杏‧天池/藍茵湖‧蜜蘋果二日｜台中旅遊,False,5499.0,"文化歷史, 自然景觀",台中,"台中, 文化歷史, 自然景觀"
AC206:,溫哥華-卡加利單程,True,3431.0,其他,,", 其他"
00295718,SINDHORN KEMPINSKI HOTEL BANGKOKSINDHORN KEMPINSKI HOTEL BANGKOK,False,0.0,其他,,", 其他"
25JK126BRK-K,金蛇賀歲折3000｜保住3晚五星諾富特．冰魚節慶典．樂天世界_塔_水族館．韓服遊景福宮．瘋滑雪(一站購物彩妝)五日｜高雄,True,72900.0,"親子旅遊, 豪華, 購物, 雪景","景福宮, 高雄","景福宮, 親子旅遊, 豪華, 購物, 雪景, 高雄"
25JO115AN-GX,客製｜（早鳥第二人折三千）賀歲沖繩過好年.今歸仁城賞櫻.古宇利島.美麗海水族館迷你小團四日【專屬包車】※不含機票,True,23700.0,"海島旅遊, 自然景觀, 親子旅遊","沖繩, 美麗海水族館","沖繩, 海島旅遊, 美麗海水族館, 自然景觀, 親子旅遊"
24JKN18TWU-ZP,慢遊大邱半自助｜體驗汗蒸幕.「用走的雲霄飛車」SPACEWALK公園.一日自由活動.(一站購物彩妝)五日,True,19900.0,購物,,", 購物"
24JFO13CIB-T,三零深度九州旅遊|南北全覽.柳川遊船.和服體驗.熊本城.仙巖園.櫻島渡輪.指宿玉手箱.長崎夜景溫泉八日,True,54900.0,"夜間活動, 海島旅遊, 溫泉之旅, 自然景觀","夜景, 熊本, 熊本城, 長崎","夜景, 夜間活動, 海島旅遊, 溫泉之旅, 熊本, 熊本城, 自然景觀, 長崎"
25JO127AN-GX,客製｜（早鳥第二人折三千）賀歲沖繩過好年.今歸仁城賞櫻.古宇利島.美麗海水族館迷你小團四日【專屬包車】※不含機票,True,25000.0,"海島旅遊, 自然景觀, 親子旅遊","沖繩, 美麗海水族館","沖繩, 海島旅遊, 美麗海水族館, 自然景觀, 親子旅遊"
24JKN18TW-ZP,找便宜來釜山│釜山旅遊│100層X展望台.海雲台天空膠囊列車.SPACEWALK鋼鐵空中步道.西門市場五日,True,12900.0,"火車旅遊, 自然景觀, 購物","海雲台, 釜山","海雲台, 火車旅遊, 自然景觀, 購物, 釜山"
25JH119BR-T,"寒假折2,000｜冬季北海道.雪上活動.函館夜景.企鵝遊行.洞爺湖.小樽.四大螃蟹五日｜保住兩晚溫泉",True,67900.0,"夜間活動, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀"
24ECD07BR-T,特選瑞士旅遊｜白朗峰．少女峰．馬特宏峰．三大火車．雙古城．米蘭Outlet購物10日,True,116900.0,"文化歷史, 火車旅遊, 購物","少女峰, 瑞士, 米蘭, 馬特宏峰","少女峰, 文化歷史, 火車旅遊, 瑞士, 米蘭, 購物, 馬特宏峰"
25EC203BRA-T,特選瑞士旅遊｜白朗峰．少女峰．馬特宏峰．三大火車．雙古城．米蘭Outlet購物10日,True,115900.0,"文化歷史, 火車旅遊, 購物","少女峰, 瑞士, 米蘭, 馬特宏峰","少女峰, 文化歷史, 火車旅遊, 瑞士, 米蘭, 購物, 馬特宏峰"
24SV914VJ06-ZP,旅展搶購.中越峴港｜會安古城.巴拿山纜車.粉紅大教堂.迦南島竹桶船體驗.順化古都巡禮6日｜無購物.送網卡,True,17999.0,"文化歷史, 海島旅遊, 自然景觀, 購物",,", 文化歷史, 海島旅遊, 自然景觀, 購物"
25EF126BRP-T,魅力歐洲｜BonjourParis巴黎拜金女7天｜奧薇小鎮、巴黎市區、雙好禮、葡國海鮮牛排大餐、馬卡龍,True,96900.0,美食,"巴黎, 歐洲","巴黎, 歐洲, 美食"
25AB124BRS-T,賀歲省５千》美西旅遊｜三晚四星、迪士尼、環球影城、大峽谷天空步道、１７哩海岸、海鮮餐９日,True,122900.0,"主題樂園, 美食",環球影城,"主題樂園, 環球影城, 美食"
24STO03CI7-K,"泰國旅遊│國際五星兩晚,夢幻粉紅咖啡廳,歐式水上市場,現點現烤海鮮市集,夜遊湄南河五日",True,20999.0,"夜間活動, 美食, 豪華, 購物",,", 夜間活動, 美食, 豪華, 購物"
AC224:,溫哥華-卡加利單程,True,4377.0,其他,,", 其他"
AC236:AC8137:,溫哥華-卡加利單程,True,4377.0,其他,,", 其他"
24JHO31JXS-T,三零深度北海道旅遊｜全程無自理餐.函館纜車.北極星列車.阿寒湖愛努.狐狸村.旭山動物園.三大蟹美人湯八日,True,69900.0,"火車旅遊, 自然景觀, 親子旅遊","函館, 北海道, 旭山動物園","函館, 北海道, 旭山動物園, 火車旅遊, 自然景觀, 親子旅遊"
25XM103TK-T,"預購折$3,000》特選埃及旅遊│神秘金字塔‧大埃及博物館‧尼羅河遊輪‧紅海度假之旅10日",True,78900.0,"文化歷史, 豪華","埃及, 尼羅河, 紅海, 金字塔","埃及, 尼羅河, 文化歷史, 紅海, 豪華, 金字塔"
24ECD16BR-T,特選瑞士｜馬特宏峰．阿雷奇冰川小鎮．雙火車．萊茵瀑布10日(長榮慕尼黑來回),True,105900.0,"火車旅遊, 自然景觀, 雪景","慕尼黑, 瑞士, 馬特宏峰","慕尼黑, 火車旅遊, 瑞士, 自然景觀, 雪景, 馬特宏峰"
24JT918FDK2-ZP,東京旅遊｜享樂迪士尼.川越小江戶.結緣冰川神社.自由購物六日｜高雄來回,True,26888.0,"主題樂園, 文化歷史, 購物, 雪景","東京, 高雄","主題樂園, 文化歷史, 東京, 購物, 雪景, 高雄"
25EC120BR-T,特選瑞士｜馬特宏峰．阿雷奇冰川小鎮．雙火車．萊茵瀑布10日(長榮慕尼黑來回),True,109900.0,"火車旅遊, 自然景觀, 雪景","慕尼黑, 瑞士, 馬特宏峰","慕尼黑, 火車旅遊, 瑞士, 自然景觀, 雪景, 馬特宏峰"
24JHN24BRS-T,三零深度北海道旅遊｜全程無自理餐.函館纜車.北極星列車.阿寒湖愛努.狐狸村.旭山動物園.三大蟹美人湯八日,True,69900.0,"火車旅遊, 自然景觀, 親子旅遊","函館, 北海道, 旭山動物園","函館, 北海道, 旭山動物園, 火車旅遊, 自然景觀, 親子旅遊"
24JFD16BRK-K,九州全覽｜早鳥折1000｜由布院之森｜星級酒店．螃蟹吃到飽．日南摩艾像．日南海岸．金麟湖．溫泉六日【高雄直飛】,True,45900.0,"溫泉之旅, 美食, 自然景觀",高雄,"溫泉之旅, 美食, 自然景觀, 高雄"
25JT125BR7-K,賀歲-3000｜北陸旅遊｜三晚溫泉｜合掌村點燈.新穗高纜車.松本城.輕井澤.採草莓.和牛美食五日｜無自理餐｜高雄東京來回,True,80900.0,"溫泉之旅, 美食, 自然景觀","東京, 高雄","東京, 溫泉之旅, 美食, 自然景觀, 高雄"
24AB927JXQ-T,美西旅遊｜美麗星世界～限GO舊金山、優勝美地國家公園、17哩海岸景觀、OUTLET購物趣７日,True,42900.0,"自然景觀, 購物",舊金山,"自然景觀, 舊金山, 購物"
24JTO08BRM-T,省最大東京促銷｜全程無自理餐～河口湖富士山.輕井澤.伊香保.小諸城址.川越古街.淺草寺.和牛美食.溫泉雙湯五日,True,36900.0,"文化歷史, 溫泉之旅, 美食, 自然景觀","富士, 東京, 河口湖, 淺草, 淺草寺","富士, 文化歷史, 東京, 河口湖, 淺草, 淺草寺, 溫泉之旅, 美食, 自然景觀"
24ABD05JXA-T,美西旅遊｜美麗星世界～限GO舊金山、優勝美地國家公園、17哩海岸景觀、OUTLET購物趣７日,True,49900.0,"自然景觀, 購物",舊金山,"自然景觀, 舊金山, 購物"
24JOO13ITK-K,沖繩旅遊｜台灣虎航｜瀨長島.國際通購物.美麗海水族館四日｜一日自由活動｜贈一日單軌電車｜高雄來回,True,25900.0,"海島旅遊, 親子旅遊, 購物","國際通, 沖繩, 美麗海水族館, 高雄","國際通, 沖繩, 海島旅遊, 美麗海水族館, 親子旅遊, 購物, 高雄"
00075385,宜舍單人旅店EASE SINGLE INN HOSTEL,True,2820.0,其他,,", 其他"
24JT929FDK2-ZP,東京旅遊｜享樂迪士尼.川越小江戶.結緣冰川神社.自由購物六日｜高雄來回,True,28888.0,"主題樂園, 文化歷史, 購物, 雪景","東京, 高雄","主題樂園, 文化歷史, 東京, 購物, 雪景, 高雄"
24JF924CIA-T,雙城九州廣島|三大名城黑色城堡熊本城.世界遺產嚴島神社.別府纜車.門司港下關懷舊跨海之旅六日,True,45900.0,"文化歷史, 海島旅遊","別府, 別府纜車, 熊本, 熊本城","別府, 別府纜車, 文化歷史, 海島旅遊, 熊本, 熊本城"
25JT127IT9-K,賀歲-3000｜東京｜虎航｜保住兩晚迪士尼公認五星飯店｜迪士尼.史努比博物館.箱根園水族館.溫泉和牛美食五日｜高雄來回,True,78900.0,"主題樂園, 文化歷史, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 豪華","東京, 箱根, 高雄","主題樂園, 文化歷史, 東京, 溫泉之旅, 箱根, 美食, 自然景觀, 親子旅遊, 豪華, 高雄"
231124001,高鐵假期-高雄義大天悅飯店二日自由行,False,,其他,"義大, 高雄","其他, 義大, 高雄"
24EUO28CI-T,冬遊特選德瑞旅遊｜鐵力士山．阿爾卑斯火車．羅曼蒂克大道．雙城堡．萊茵河遊船10日,True,89900.0,"文化歷史, 火車旅遊, 自然景觀","德瑞, 羅曼蒂克大道, 萊茵河","德瑞, 文化歷史, 火車旅遊, 羅曼蒂克大道, 自然景觀, 萊茵河"
25JK1297CC-T,"過年折3,000｜釜山旅遊｜新春團圓澎湃長腳蟹宴.冬季限定滑雪體驗.鮮採草莓.無敵海景汗蒸幕(一站購物彩妝)五日",True,48888.0,"自然景觀, 購物, 雪景",釜山,"自然景觀, 購物, 釜山, 雪景"
24JFO22CI-T,雙城九州廣島|三大名城黑色城堡熊本城.世界遺產嚴島神社.別府纜車.門司港下關懷舊跨海之旅六日,True,45900.0,"文化歷史, 海島旅遊","別府, 別府纜車, 熊本, 熊本城","別府, 別府纜車, 文化歷史, 海島旅遊, 熊本, 熊本城"
190411023,高鐵假期-高雄中央公園英迪格酒店二日自由行,False,,其他,"中央公園, 高雄","中央公園, 其他, 高雄"
25JK125TWK-K,金蛇賀歲折3000｜保住明洞鬧區｜瘋玩愛寶．滑雪體驗．LUGE滑車．漢江星空遊船．海鮮吃到飽(一站購物彩妝)五日｜高雄,True,46900.0,"美食, 自然景觀, 購物, 雪景","明洞, 高雄","明洞, 美食, 自然景觀, 購物, 雪景, 高雄"
24JFD14BRK-K,九州｜早鳥贈小費｜特色列車由布院之森．入住五星酒店品三大蟹．湯布院金鱗湖．和服體驗．海地獄．溫泉五日【高雄直飛】,True,38900.0,"溫泉之旅, 火車旅遊, 自然景觀, 豪華","海地獄, 湯布院, 金鱗湖, 高雄","海地獄, 湯布院, 溫泉之旅, 火車旅遊, 自然景觀, 豪華, 金鱗湖, 高雄"
25JH120CI-T,"寒假折2,000｜冬季北海道.破冰船.冰釣公魚.丹頂鶴.旭山動物園.熱氣球.四大螃蟹美人湯五日｜保住三晚溫泉",True,68900.0,"溫泉之旅, 美食, 自然景觀, 親子旅遊","北海道, 旭山動物園","北海道, 旭山動物園, 溫泉之旅, 美食, 自然景觀, 親子旅遊"
25JX125BRK-K,賀歲折3000｜大阪旅遊｜經典京阪神奈.歡樂戲雪.環球影城.溫泉螃蟹饗宴五日｜贈四項劵｜環球影城旁飯店｜高雄來回,True,88900.0,"主題樂園, 溫泉之旅, 美食, 自然景觀, 雪景","大阪, 環球影城, 高雄","主題樂園, 大阪, 溫泉之旅, 環球影城, 美食, 自然景觀, 雪景, 高雄"
24JF906BRK-K,九州｜早鳥贈小費｜特色列車由布院之森．入住五星酒店品三大蟹．湯布院金鱗湖．和服體驗．海地獄．溫泉五日【高雄直飛】,True,38900.0,"溫泉之旅, 火車旅遊, 自然景觀, 豪華","海地獄, 湯布院, 金鱗湖, 高雄","海地獄, 湯布院, 溫泉之旅, 火車旅遊, 自然景觀, 豪華, 金鱗湖, 高雄"
24JHO30JXI-T,三零深度北海道旅遊｜全程無自理餐.美瑛青池紅葉.函館夜景.層雲峽黑岳纜車.旭山動物園.小樽.三大蟹千函八日,True,69900.0,"夜間活動, 自然景觀, 親子旅遊","函館, 北海道, 夜景, 小樽, 旭山動物園, 美瑛青池","函館, 北海道, 夜景, 夜間活動, 小樽, 旭山動物園, 美瑛青池, 自然景觀, 親子旅遊"
24SD905AK3K-ZP,馬來西亞｜麗昇海上VILLA.麻六甲世界遺產.黃昏愛之船.雲頂高原纜車.雙下午茶.馬來服裝新體驗6日｜高雄出發,True,25999.0,文化歷史,高雄,"文化歷史, 高雄"
25JP125CI-T,"過年折3,000｜賀歲尊榮~北陸合掌村.百選下呂水明館(附風呂房).新穗高雪迴廊.庄川遊船.螃蟹三吃.採草莓.法式餐六日",True,82900.0,美食,,", 美食"
GK218:GK13:,大阪 - 台北 單程,True,6517.0,其他,"台北, 大阪","其他, 台北, 大阪"
24JS911GX-GX,客製｜（早鳥第二人折三千）銀山溫泉鄉、藏王狐狸村、大內宿合掌村溫泉鄉美食迷你小團5日【專屬包車】※不含機票,True,38500.0,"溫泉之旅, 美食, 自然景觀",銀山,"溫泉之旅, 美食, 自然景觀, 銀山"
G23007HH,日本環球特快入場券7| Variety,True,3962.0,其他,,", 其他"
25JP128CI-T,"過年折3,000｜賀歲尊榮~北陸合掌村.百選下呂水明館(附風呂房).新穗高雪迴廊.庄川遊船.螃蟹三吃.採草莓.法式餐六日",True,82900.0,美食,,", 美食"
MF888:MF8431:MF8402:MF881:,台北-成都來回,True,11510.0,其他,台北,"其他, 台北"
25JH120BR-T,"寒假折2,000｜冬季北海道.雪上活動.函館夜景.企鵝遊行.洞爺湖.小樽.四大螃蟹五日｜保住兩晚溫泉",True,67900.0,"夜間活動, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀"
JPTYO124,HOTEL LIVEMAX 新橋HOTEL LIVEMAX SHIMBASHI,False,4478.0,其他,,", 其他"
25JF420BRK-K,紫藤九州｜河內藤園紫藤花．粉蝶花限定．南阿蘇鐵道．湯布院~金鱗湖．上色見熊野座神社．溫泉五日【高雄直飛】,True,39900.0,"文化歷史, 溫泉之旅, 火車旅遊, 自然景觀","湯布院, 金鱗湖, 高雄","文化歷史, 湯布院, 溫泉之旅, 火車旅遊, 自然景觀, 金鱗湖, 高雄"
JPTYO209,三井花園飯店銀座 PREMIERMITSUI GARDEN HOTEL GINZA PREMIER,False,11382.0,其他,銀座,"其他, 銀座"
24JHD01CI-T,冬季北海道旅遊｜旭山動物園.美瑛青池.銀河流星瀑布.DIY果醬.白色燈樹節.熱氣球.小樽.螃蟹美食五日｜保住三晚溫泉,True,45900.0,"溫泉之旅, 美食, 自然景觀, 親子旅遊","北海道, 小樽, 旭山動物園, 美瑛青池","北海道, 小樽, 旭山動物園, 溫泉之旅, 美瑛青池, 美食, 自然景觀, 親子旅遊"
25JP125ITK-K,迎春折2000｜北陸｜台灣虎航｜年度盛會結之庄合掌村點燈祭｜庄川遊船.新穗高纜車.金箔體驗.螃蟹饗宴六日｜高雄來回,True,79900.0,美食,高雄,"美食, 高雄"
25JS120BRB-T,東北旅遊|銀山溫泉街.藏王樹冰纜車.狐狸村.會津若松城.大內宿.豬苗代湖.松島遊船.山形牛餐.溫泉五日,True,58999.0,"海島旅遊, 溫泉之旅, 自然景觀","山形, 銀山, 銀山溫泉街","山形, 海島旅遊, 溫泉之旅, 自然景觀, 銀山, 銀山溫泉街"
25JK121BRI-T,寒假旅展優惠｜限量首爾｜人氣滑雪體驗.鮮採草莓.秘境瀑布Café.最美星空圖書館.廚神白種元美食.必逛聖水洞＋明洞四日,True,17888.0,"美食, 自然景觀, 雪景","明洞, 首爾","明洞, 美食, 自然景觀, 雪景, 首爾"
25JS202JXA-T,東北旅遊|銀山溫泉街.藏王樹冰纜車.狐狸村.會津若松城.大內宿.豬苗代湖.松島遊船.山形牛餐.溫泉五日,True,58999.0,"海島旅遊, 溫泉之旅, 自然景觀","山形, 銀山, 銀山溫泉街","山形, 海島旅遊, 溫泉之旅, 自然景觀, 銀山, 銀山溫泉街"
24EEO25MUB-ZP,尋寶送小費》奧捷匈｜維也納．布拉格．布達佩斯．庫倫洛夫．哈修塔特湖區．薩爾斯堡10日,True,62900.0,自然景觀,"哈修塔特, 奧捷, 布拉格, 布達佩斯, 庫倫洛夫, 維也納","哈修塔特, 奧捷, 布拉格, 布達佩斯, 庫倫洛夫, 維也納, 自然景觀"
25JK121CII-T,釜山蔚山旅遊｜沉浸式藝術島.海雲台列車.X展望台.古都巡禮.浮誇系火焰鐵板烤肉五日(一站購物彩妝),True,27900.0,"海島旅遊, 火車旅遊, 自然景觀, 藝文體驗, 購物","海雲台, 釜山","海島旅遊, 海雲台, 火車旅遊, 自然景觀, 藝文體驗, 購物, 釜山"
25JS124GX-GX,客製｜（早鳥第二人折三千）銀山溫泉鄉、藏王狐狸村、大內宿合掌村溫泉鄉美食迷你小團5日【專屬包車】※不含機票,True,40800.0,"溫泉之旅, 美食, 自然景觀",銀山,"溫泉之旅, 美食, 自然景觀, 銀山"
25JH125JX-T,"過年折3,000｜冬季北海道.雪上活動.函館夜景.企鵝遊行.洞爺湖.小樽.活蟹饗宴美食五日｜保住四晚溫泉",True,109900.0,"夜間活動, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀"
24JHD02BRA-T,限量搶北海道旅遊｜冬季賞雪.札幌白色燈樹節.函館纜車.企鵝遊行.小樽漫遊.熊牧場.三大螃蟹溫泉五日｜保住四晚溫泉,True,43900.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽, 札幌, 熊牧場","函館, 北海道, 小樽, 札幌, 溫泉之旅, 熊牧場, 美食, 自然景觀"
24ST925SLD-ZP,搶購泰國｜海天盛宴OceanSky.水上市場.格蘭島.海鮮燒烤BBQ.米其林5＋1日,True,17500.0,"海島旅遊, 美食, 購物",,", 海島旅遊, 美食, 購物"
25JH127BR-T,"過年折3,000｜冬季北海道.雪上活動.函館夜景.企鵝遊行.洞爺湖.小樽.活蟹饗宴美食五日｜保住四晚溫泉",True,109900.0,"夜間活動, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 夜景, 小樽","函館, 北海道, 夜景, 夜間活動, 小樽, 溫泉之旅, 美食, 自然景觀"
25JT121BR9-K,東北旅遊｜無自理餐｜藏王樹冰纜車.新幹線.會津城.松島遊船.銀山溫泉古街.山形牛餐五日｜高雄東京來回,True,50900.0,"海島旅遊, 溫泉之旅, 自然景觀","山形, 東京, 銀山, 高雄","山形, 東京, 海島旅遊, 溫泉之旅, 自然景觀, 銀山, 高雄"
25ab124jxs-t,賀歲美西｜賭城兩晚四星、迪士尼、環球影城、北美最高摩天輪、大峽谷天空步道、圍爐龍蝦餐１０日,True,122900.0,主題樂園,環球影城,"主題樂園, 環球影城"
25JK120CIB-T,"寒假迎春折2,000｜韓冬滑雪｜首爾｜滑雪體驗.暢遊樂天世界.南怡島雪境.女王百貨.星空圖書館.文青益善洞.必逛明洞五日",True,26388.0,"海島旅遊, 自然景觀, 購物, 雪景","明洞, 首爾","明洞, 海島旅遊, 自然景觀, 購物, 雪景, 首爾"
24STO18FDK-ZP,泰國嗨玩曼芭夜未眠｜丹嫩莎朵水上市場.美功鐵道.沙灘俱樂部.OceanSky海天盛宴5＋1日｜高雄出發,True,19999.0,"火車旅遊, 購物",高雄,"火車旅遊, 購物, 高雄"
25JK1257CA-T,"過年賀歲折3,000｜首爾｜住希爾頓逸林酒店.住明洞自由逛.新春團圓餐.人氣滑雪.南怡島雪境.登上首爾塔.紓壓汗蒸幕五日",True,46888.0,"海島旅遊, 雪景","明洞, 首爾","明洞, 海島旅遊, 雪景, 首爾"
25ST115FDK-ZP,泰國嗨玩曼芭夜未眠｜丹嫩莎朵水上市場.美功鐵道.沙灘俱樂部.OceanSky海天盛宴5＋1日｜高雄出發,True,20399.0,"火車旅遊, 購物",高雄,"火車旅遊, 購物, 高雄"
CX469:CX6122:CX6121:CX472:,台北-成都來回,True,12175.0,其他,台北,"其他, 台北"
24JON10JX1-T,4人成行｜GF沖繩高爾夫4日2場球(五星酒店‧南方林克斯球場),True,38900.0,豪華,沖繩,"沖繩, 豪華"
25JS121ITA-ZP,"迎春折2,000｜花卷～岩手冰之世界一票玩到底．冬季獨家藏王樹冰．雪季三重奏五日｜保證入住花卷溫泉",True,50888.0,"溫泉之旅, 自然景觀",花卷溫泉,"溫泉之旅, 自然景觀, 花卷溫泉"
25JP125BRB-T,"過年折3,000｜年度盛會~北陸合掌村點燈.加賀屋饗宴.百選溫泉太鼓秀.高山古街.兼六園.戲雪.贈金箔酒五日｜名古屋萬豪",True,92888.0,"溫泉之旅, 美食, 自然景觀, 雪景",,", 溫泉之旅, 美食, 自然景觀, 雪景"
