,使用者ID,地點／景點,活動,購買區間,搜尋紀錄
151,32aa1dab-5db7-494c-b18e-d05c969f1bef,"台北, 開羅",其他,65000 - 69999,開羅-CAIRO(CAI)
152,3441cac5-96a2-401a-82ba-afcc9dc4f2f1,"吉隆坡, 富士, 新加坡, 環球影城, 聖淘沙","主題樂園, 其他, 海島旅遊",30000 - 34999,無
153,344be19e-a114-4c67-80c6-89c5ae07c809,"奈良, 富士, 嵐山, 東京, 淺草, 淺草寺, 環球影城, 神戶, 神戶動物王國, 西湖","主題樂園, 文化歷史, 溫泉之旅, 自然景觀, 親子旅遊, 購物",30000 - 34999,無
154,3464501d-650e-4686-8e2a-40f335603191,六十石山,"火車旅遊, 自然景觀",5000 - 9999,無
155,34bb31e8-c9de-49ca-b5f1-772f367cc691,"沖繩, 馬六甲","文化歷史, 海島旅遊, 豪華, 購物",20000 - 24999,"日本全選, 泰國全選, 越南, 馬新全選"
156,34dcb1d4-87b8-4a90-ab50-58f55532ec5a,"台北, 東京",其他,10000 - 14999,東京-TOKYO(TYO)
157,34ef5891-4be6-4fcf-8cbd-2df217e9e44f,美術館,"文化歷史, 海島旅遊, 自然景觀, 藝文體驗",35000 - 39999,無
158,35bfbc19-d29b-4b49-9b90-cc5e1bcde5fb,釜山,"自然景觀, 購物, 雪景",40000 - 44999,無
159,35ff058f-6a7d-44fd-af63-6779acaaa080,"台北, 新北, 淡水, 首爾","其他, 溫泉之旅, 自然景觀",0 - 4999,"台北, 台北蘆洲成旅晶贊飯店, 新北, 新北市, 板橋, 板橋車站, 淡水, 淡水老街"
160,360c8daf-d3ff-4772-856a-a4da4e4b4512,高雄,"溫泉之旅, 美食, 自然景觀",25000 - 29999,無
161,364c448d-0981-463c-8162-2bc9b582bf22,"觀景台, 鄭王廟","夜間活動, 文化歷史, 美食, 自然景觀",20000 - 24999,無
162,36b0063c-1001-4f15-ab7e-11a90de7a1a9,"國王湖, 天鵝堡, 少女峰, 德瑞, 馬特宏峰","火車旅遊, 自然景觀",115000 - 119999,無
163,36de403c-7e38-4ccf-a03d-73cac13ae27d,高雄,"文化歷史, 海島旅遊, 自然景觀, 豪華, 購物",25000 - 29999,峴港
164,37568d7d-9637-4178-9a51-dbd78edfeb8c,花蓮,其他,0 - 4999,無
165,37c7c859-4d3c-4f92-9fac-9b59891f494a,"哈修塔特, 奧捷, 布拉格, 維也納",文化歷史,65000 - 69999,無
166,37e022bf-8c78-4169-802f-48c62e84312a,"富士, 東京, 河口湖, 高雄","主題樂園, 溫泉之旅, 美食, 自然景觀, 雪景",60000 - 64999,無
167,37e0daa9-6a3e-4748-9eab-ba4c0de93624,"台北, 東京",其他,5000 - 9999,東京-TOKYO(TYO)
168,3805cd05-06e2-4f3f-b54d-46d99ca78605,"沖繩, 那霸",豪華,0 - 4999,無
169,3816ba21-980b-4c54-803f-8c100644a748,"奈良, 嵐山, 有馬溫泉, 東大寺, 環球影城","主題樂園, 文化歷史, 溫泉之旅, 自然景觀",35000 - 39999,無
170,38c5e15b-dcdf-4711-a573-b3454da11566,新竹,其他,0 - 4999,"列車, 團體"
171,39954c0f-02ce-4a8e-bee1-da5e6369745e,"中尊寺, 大阪, 富士, 山形, 心齋橋, 東京, 秋田, 花卷溫泉, 銀山, 銀山溫泉街","主題樂園, 其他, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 雪景",40000 - 44999,無
172,3995d981-a87b-4bbd-b97c-0810ba162a42,"台中, 塗鴉秀, 弘大, 明洞, 首爾","主題樂園, 海島旅遊, 購物",15000 - 19999,韓國
173,39ded1ee-7d41-4f25-a861-a90e6044cebf,"冰島, 巴黎, 藍湖","戶外活動, 海島旅遊, 溫泉之旅, 自然景觀, 雪景",160000 - 164999,無
174,39fa84f4-1413-4342-afea-6199bd59ee5c,"內灣, 宜蘭, 新竹, 桃園, 梅花湖","其他, 戶外活動, 火車旅遊, 美食, 自然景觀, 藝文體驗",0 - 4999,無
175,3a7bfa2e-c9ed-4b40-ba1f-e065d4e20e56,釜山,自然景觀,無資料,釜山
176,3ae9077d-723e-49e2-92e1-cbd710caecd8,"城山日出峰, 漢拏樹木園, 跨海大橋","文化歷史, 海島旅遊, 自然景觀, 藝文體驗, 豪華",15000 - 19999,濟州島
177,3b66b420-043a-481c-8899-6616d52b3fad,"台中, 湄公河","夜間活動, 文化歷史, 火車旅遊, 豪華",30000 - 34999,無
178,3c3c3dcc-62e7-4e53-b2dc-1b7c99b2e6d9,"上海迪士尼, 巴黎, 歐洲, 歐洲之星, 法國, 羅浮宮, 羊角村","主題樂園, 文化歷史, 自然景觀, 豪華, 購物",30000 - 34999,無
179,3c82d5d5-7420-49b4-a2cd-f695aec9c494,"夜景, 明洞, 景福宮, 東大門, 首爾, 高雄","夜間活動, 海島旅遊, 購物",25000 - 29999,無
180,3c8d6a56-5674-4fdc-b1ba-d6f60080fe31,"蘭桂坊, 香港",其他,無資料,香港
181,3c8e4a19-af7a-4e23-b892-ddd17906b7a6,"七星潭, 花蓮","火車旅遊, 自然景觀, 豪華",0 - 4999,無
182,3caabd22-4401-41cf-827e-01ce00de7518,高雄,海島旅遊,20000 - 24999,長灘島
183,3dc6ac68-dff8-45c1-abbb-dd4e63d18880,"台中, 台北, 合歡山, 宜蘭, 屏東, 新竹, 澎湖, 花蓮, 金門, 陽明山, 龜山島","夜間活動, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 自然景觀, 豪華, 購物",0 - 4999,無
184,3de8581e-eaf6-489e-a772-b48b0bfe5825,"中尊寺, 大阪, 心齋橋, 環球影城, 黑門市場","主題樂園, 文化歷史, 豪華, 購物",15000 - 19999,日本東北
185,3dffc310-e191-475d-98e2-1e3b0f0051e1,金門,其他,10000 - 14999,無
186,3e43d883-023d-4b53-ac7a-970c28658c93,"吉隆坡, 基隆, 新加坡, 沖繩, 那霸",其他,30000 - 34999,無
187,3e84c37f-751c-4266-a889-2cda83fb72ea,"哈修塔特, 大阪, 大阪城, 布達佩斯, 神戶, 維也納, 美術館, 高雄","婚禮蜜月, 文化歷史, 美食, 自然景觀, 藝文體驗, 購物",65000 - 69999,無
188,3ee351ba-e156-45a2-8a97-8775b00a9d9f,"巴塞隆納, 格拉納達, 美術館, 西班牙, 風車村","火車旅遊, 藝文體驗, 豪華",135000 - 139999,無
189,3fd1d835-c03b-4d1e-9f80-99fbbc67c4de,"台北, 福岡",其他,5000 - 9999,"台北-Taipei(TPE), 福岡市-福岡縣-FUKUOKA(FUK)"
190,406e6e43-9079-4e3d-8fa8-9d3c86b6c728,"釜山, 高雄",自然景觀,10000 - 14999,"釜山, 釜山金海機場(PUS)"
191,40b41b04-afc3-4281-90b1-b79ada43c442,印度,"美食, 豪華, 購物",35000 - 39999,無
192,410199f1-99c0-4506-857a-be5b14d751d1,"台北, 巴塞隆納",其他,30000 - 34999,巴塞隆納-BARCELONA(BCN)
193,4150e177-bcf8-4ded-a89e-e04377d8e10e,"伏見稻荷大社, 大阪, 奈良, 平等院, 東大寺, 清水寺, 高雄","文化歷史, 美食",30000 - 34999,無
194,416b867e-016e-4d58-bad2-3bd4df067391,新加坡,其他,0 - 4999,無
195,41a0c47e-a033-4ee1-9653-ebdb6db996c9,"米蘭, 義大, 義大利",其他,100000 - 104999,無
196,42387203-3d58-4f6f-991e-a2ce3db8c3de,大阪,其他,0 - 4999,"大邱-DAEGU(TAE), 大阪, 大阪-OSAKA(OSA)"
197,427cd1ea-9b64-4450-9b53-d0435efcae40,"北村韓屋村, 南山, 塗鴉秀, 夜景, 弘大, 明洞, 景福宮, 東大門, 歐洲, 法國, 義大, 義大利, 首爾, 高雄","主題樂園, 夜間活動, 文化歷史, 海島旅遊, 網美打卡, 自然景觀, 豪華, 購物, 雪景",15000 - 19999,無
198,429d01b1-cf71-45f8-8467-1182be72f3e1,"台北, 東京",其他,15000 - 19999,"上海-SHANGHAI(SHA), 東京-TOKYO(TYO)"
199,42f80b94-2279-4f41-b7e6-8a698e1ed2c1,"台北, 舊金山",自然景觀,35000 - 39999,舊金山-加州-SANFRANCISCOCA(SFO)
200,43085dc9-4668-4639-9c60-6b33984dfcc9,東京,"主題樂園, 豪華",0 - 4999,無
201,436775b6-a877-42b8-8c55-4ed972f5561f,台北,其他,5000 - 9999,鄭州新鄭機場(CGO)
202,4420a46d-c495-43d7-81b5-aedbefc5bc31,"白廟, 藍廟, 鐘樓, 高雄","其他, 自然景觀, 親子旅遊, 購物",25000 - 29999,無
203,44a77c3d-cfa6-4d12-a214-de88fb88acbc,"京都, 大阪, 平等院, 環球影城","主題樂園, 自然景觀",30000 - 34999,無
204,45a8e513-1334-4130-99b9-a31b63ad01f6,"京都, 大阪, 平等院, 環球影城","主題樂園, 自然景觀",30000 - 34999,合掌村
205,4612c4dc-82de-4bfa-816d-feb58c490fc7,"七星潭, 花蓮","火車旅遊, 自然景觀, 豪華",0 - 4999,無
206,4662774a-9c50-40c0-836d-5e003b6e411f,"倫敦, 劍橋, 大英博物館, 屏東, 拉斯維加斯, 洛杉磯, 牛津, 環球影城, 臺東, 舊金山, 英國","主題樂園, 文化歷史, 火車旅遊, 自然景觀, 購物",55000 - 59999,美國
207,46b94894-1c6b-4a24-bbc2-e6f74adbe561,"小琉球, 鹿港","文化歷史, 海島旅遊, 美食, 藝文體驗",0 - 4999,無
208,46e8fbfa-e1f6-40ee-82d8-23d7661f34eb,"伏見稻荷大社, 北野, 北野異人館, 大阪, 奈良, 嵐山, 平等院, 有馬溫泉, 東大寺, 清水寺, 環球影城, 高雄","主題樂園, 其他, 文化歷史, 海島旅遊, 溫泉之旅, 美食, 自然景觀",35000 - 39999,無
209,476b4cdb-9fc8-4c58-9569-30f30854cff5,台北,美食,0 - 4999,無
210,4792f20f-ddc1-4014-a7b0-1e73e7c73f2c,"三仙台, 仙台, 台中, 合歡山, 太平山, 宜蘭, 清境農場, 花蓮, 高雄, 龜山島","其他, 海島旅遊, 溫泉之旅, 自然景觀, 豪華",10000 - 14999,無
211,481095f1-ceb6-4297-b3b7-7bfc1bfeb72d,"國王湖, 天鵝堡, 威尼斯, 少女峰, 尼斯, 德瑞, 德瑞法, 歐洲, 羅馬, 萊茵河, 馬特宏峰","火車旅遊, 自然景觀, 豪華",145000 - 149999,無
212,48109bff-f38d-4218-9ed5-6c27c8b09dd4,"少女峰, 嵐山, 德瑞, 有馬溫泉, 環球影城","主題樂園, 溫泉之旅, 火車旅遊, 自然景觀",70000 - 74999,無
213,4860bf9e-6a24-46b1-b497-49583cc47979,"台北, 澳門",其他,10000 - 14999,澳門-MACAU(MFM)
214,486da635-f75d-43a6-a4c1-4e73f71c3366,"澳門, 高雄","其他, 豪華",無資料,澳門
215,48f3e611-164c-482c-9a60-45ff28ece2ae,"太平山, 宜蘭",自然景觀,5000 - 9999,無
216,49a17f3f-afb8-43a1-b203-24b24698258c,"沖繩, 玉泉洞, 萬座毛","親子旅遊, 購物",25000 - 29999,無
217,49db8ced-9769-42a6-8c85-334a2a9fb969,"台中, 嘉義, 基隆, 情人湖, 義大, 花蓮, 西班牙, 高美, 高美濕地, 高雄","其他, 文化歷史, 美食, 自然景觀, 豪華, 購物",0 - 4999,無
218,4a01d593-2030-4f5d-8614-c9cf180bac1e,"九份, 內灣, 台中, 基隆, 宜蘭, 新北, 新竹, 桃園, 第二人6折｜基隆旅遊｜贈人氣芋泥球！最新地標基隆塔.太平青鳥書店.老鷹岩步道.仁愛市場大啖美食1日｜大人囝仔","其他, 火車旅遊, 美食, 自然景觀, 藝文體驗, 購物",0 - 4999,無
219,4a08d971-a470-452c-b0f0-91dd0186e3e1,"中尊寺, 二條城, 北海道, 北海道神宮, 富士, 小樽, 山寺, 東京, 橫濱, 熊本, 熊本城, 神戶, 神戶港, 銀山, 銀山溫泉街, 鎌倉, 長崎","主題樂園, 其他, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊, 豪華",40000 - 44999,無
220,4a216c44-fdcd-4f84-8e2f-8bf0471bec4f,台中,"文化歷史, 自然景觀",10000 - 14999,無
221,4a7880c9-37d4-4e4d-976b-0bbbe4ec1929,"沖繩, 波上宮, 美麗海水族館, 跨海大橋",親子旅遊,35000 - 39999,無
222,4b770510-335d-4c2f-ae1a-ee9f2d84a28f,"古宇利大橋, 沖繩, 漢拏樹木園, 美麗海水族館, 跨海大橋","海島旅遊, 親子旅遊, 豪華",20000 - 24999,"沖繩, 濟州島"
223,4bffd59d-5288-4065-af10-74e7684a53a8,"台中, 太平山, 宜蘭, 梅花湖",自然景觀,0 - 4999,無
224,4c77e423-174a-4971-a4ce-3262de4b6d07,"伊斯坦堡, 印度, 台中, 嘉義, 土耳其, 埃及, 威尼斯, 富士, 尼斯, 尼羅河, 峽灣, 德里, 捷普, 旗山老街, 歌劇院, 泰姬瑪哈, 紅海, 金字塔, 阿布辛貝, 阿格拉, 高雄","其他, 婚禮蜜月, 文化歷史, 海島旅遊, 火車旅遊, 美食, 自然景觀, 藝文體驗, 親子旅遊, 豪華",85000 - 89999,無
225,4caa703c-5c19-41f7-8a9a-cfdea0fb78a7,"台中, 屏東, 觀景台, 香港, 高雄","其他, 文化歷史, 美食, 自然景觀, 豪華, 購物",0 - 4999,無
226,4ceb8bf0-ab14-4fc9-8205-ffd49b122d08,花蓮,其他,0 - 4999,無
227,4df22d6b-ae97-4ad7-b68d-e08f8da7b0bd,"天鵝堡, 威尼斯, 尼斯, 德國, 慕尼黑, 米蘭, 羅曼蒂克大道, 羅馬, 義大, 義大利, 西班牙, 風車村","其他, 夜間活動, 文化歷史, 海島旅遊, 火車旅遊, 自然景觀, 購物",70000 - 74999,無
228,4e0e41a0-9430-427d-8f9f-9b3b922d3c67,"匈牙利, 土耳其, 多瑙河, 奧捷, 德里, 拉斯維加斯, 洛杉磯, 維也納, 羅浮宮, 舊金山, 西班牙, 馬德里","文化歷史, 自然景觀, 藝文體驗, 購物",80000 - 84999,無
229,4e5d076b-6916-4790-90f2-d2e506243167,"北海道, 小樽, 屏東, 巴黎, 歐洲, 沖繩, 美麗海水族館, 義大, 義大利, 臺東, 舊金山, 西班牙, 銀山, 阿拉斯加, 高雄","文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊, 豪華, 購物, 雪景",65000 - 69999,"澳洲, 過年"
230,4e8df440-339e-4ee8-98cd-fda18536657d,"巴黎, 羊角村","婚禮蜜月, 文化歷史, 火車旅遊, 豪華",145000 - 149999,歐洲
231,4e8e22f0-5c71-4f9e-97fd-61a4dcfaeb32,桃園,自然景觀,0 - 4999,無
232,4f5ffe38-0285-4602-9de3-a7c6d4fa87a1,"東大門, 首爾, 高雄",其他,0 - 4999,"目前周遭位置搜尋, 首爾, 首爾-SEOUL(SEL)"
233,4fed3f8a-a8be-483d-a944-f1e958d9790a,桃園,其他,30000 - 34999,華沙機場(WAW)
234,5050d2cb-a0b5-4c6d-a48a-3265ededa3f0,"北海道, 小樽, 小樽運河, 沖繩","文化歷史, 海島旅遊, 溫泉之旅, 自然景觀, 購物",25000 - 29999,超值特惠機票
235,5063ff75-a069-4342-b733-993b8e2f342e,"沖繩, 波上宮","海島旅遊, 自然景觀, 購物",25000 - 29999,沖繩
236,5089e4aa-4b68-403a-805e-f17bd794447e,"明洞, 釜山, 首爾","海島旅遊, 自然景觀, 購物, 雪景",40000 - 44999,"東北亞全選, 東南亞全選, 港澳珠圳全選"
237,50d02a0c-d67e-4b08-be29-3a4b640a1cda,"中尊寺, 嚴美溪, 時尚購物中心, 東京, 沖繩, 淺草, 玉泉洞, 美麗海水族館, 萬座毛, 觀音寺, 角館, 跨海大橋, 銀山","文化歷史, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 購物",20000 - 24999,日本
238,5124d8bd-ac32-4d81-8bd7-a6e098cb39ca,九重夢大吊橋,"溫泉之旅, 自然景觀, 豪華",30000 - 34999,無
239,51385404-b323-4d71-954a-21771f39ce82,杉林溪,"自然景觀, 豪華",0 - 4999,無
240,51dae932-f6fa-422e-b04d-48b13b0cc1a9,台北,其他,5000 - 9999,"Hilton Newcastle Gateshead, Maldron Hotel Newcastle, Newcastle 希爾頓, 泰恩河畔新堡, 紐卡斯爾機場(NCL), 英國, 英格蘭"
241,51f7287a-5ee0-42d6-8c76-dac7b9a0deb7,"佛國寺, 台中, 明洞, 海雲台, 白燈塔, 西面, 釜山, 首爾, 高雄","主題樂園, 文化歷史, 海島旅遊, 火車旅遊, 自然景觀, 藝文體驗, 購物",20000 - 24999,釜山
242,527cccd1-5d6e-4364-b4c7-31e3ce714630,"台中, 大鵬灣, 小琉球, 屏東","文化歷史, 海島旅遊, 自然景觀",5000 - 9999,大鵬灣國家風景區
243,52880fac-bd8b-4178-be31-8a322a222983,"威尼斯, 尼斯, 巨石陣, 巴黎, 歐洲, 歐洲之星, 牛津, 米蘭, 羅馬, 義大, 義大利, 英法, 高雄","夜間活動, 文化歷史, 海島旅遊, 自然景觀, 購物",80000 - 84999,英國
244,53170921-bed0-4706-848a-6458466a5ff5,"澎湖, 花蓮, 高雄","海島旅遊, 自然景觀, 豪華",5000 - 9999,無
245,5319b51b-07d0-4446-99bb-6a27958597b7,"中尊寺, 北海道, 奧入瀨溪流, 小樽, 旭山動物園, 秋田, 美瑛青池, 角館, 銀山, 銀山溫泉街, 青森","文化歷史, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 親子旅遊",45000 - 49999,無
246,5335887a-6fe6-4cf7-8de9-936fcda0b072,"富士, 新宿, 東京, 江之島, 河口湖, 淺草, 淺草寺, 箱根, 鎌倉, 高雄","文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 購物",40000 - 44999,東京
247,53bf40a2-c5db-4057-8e3e-0c2b10cad1db,"嘉義, 奮起湖, 新北, 高雄","溫泉之旅, 火車旅遊, 美食, 自然景觀",5000 - 9999,無
248,54419ff7-72f5-4b83-8c0a-aeb28bfc210b,"冰島, 冰洞, 歐洲, 芬蘭","海島旅遊, 自然景觀, 雪景",225000 - 229999,無
249,547cfcbd-dac2-4282-9663-3e446266f334,"函館, 北海道, 小樽, 熊牧場, 環球影城","主題樂園, 溫泉之旅, 美食, 自然景觀, 購物",35000 - 39999,無
250,54f6b280-04d2-4428-888e-766508ccfa9e,"函館, 北海道, 夜景, 小樽, 旭山動物園","夜間活動, 婚禮蜜月, 溫泉之旅, 美食, 自然景觀, 親子旅遊",55000 - 59999,北海道
251,5505d254-20be-4c6a-b5de-95101ccdedfb,"東京, 箱根","主題樂園, 溫泉之旅, 美食, 自然景觀",70000 - 74999,無
252,55836204-aa7a-4165-9cd7-1c1de21d243d,"台北, 東京",其他,10000 - 14999,東京-TYO
253,5668d8d0-addc-420c-90db-50695bfe38a5,"埃及, 尼羅河, 紅海, 金字塔","文化歷史, 豪華",65000 - 69999,無
254,5726dadd-2356-4315-a698-aa2e28cc0c90,"36古街, 高雄","海島旅遊, 自然景觀",30000 - 34999,"南美洲, 越南"
255,57293261-2ec7-4bdd-bc19-9cd17a2e2ac5,"函館, 北海道, 夜景, 熊牧場","夜間活動, 溫泉之旅, 美食, 自然景觀",55000 - 59999,無
256,57752dad-0381-48f9-b15f-0b28556ef11a,"埃及, 尼羅河, 紅海, 金字塔, 阿布辛貝",豪華,90000 - 94999,埃及
257,582c4b36-2909-4e3e-9823-fb8e0d6d61f6,"劍湖山, 墾丁, 麗寶, 麗寶樂園","主題樂園, 其他, 自然景觀, 豪華",5000 - 9999,"六福村樂園, 劍湖山世界, 台中, 墾丁"
258,582fea10-28a7-4357-b044-4ec9b5dee9d9,"米蘭, 義大, 義大利",其他,100000 - 104999,無
259,5882be18-f58a-47fb-aeb0-b91a5a0e1132,"嘉義, 奮起湖, 阿里山, 高雄","火車旅遊, 自然景觀, 豪華",5000 - 9999,阿里山
260,58d00e2d-d4a9-4aa5-ab77-688ec838db1e,"富士, 明治神宮, 東京, 橫濱, 江之島, 河口湖, 西湖, 鎌倉","主題樂園, 婚禮蜜月, 海島旅遊, 溫泉之旅, 美食, 自然景觀",50000 - 54999,"古都鎌倉, 東京"
261,5a290bec-c935-4c3c-85db-cc57e5204abc,"京都, 六甲山, 大阪, 天王寺動物園, 奈良, 東大寺, 清水寺, 高雄","文化歷史, 火車旅遊, 美食, 自然景觀, 親子旅遊, 雪景",35000 - 39999,日本環球影城
262,5a9849e3-38a3-46eb-b32a-3971439656cd,"新竹, 香港","其他, 海島旅遊",0 - 4999,無
263,5a9f6a3b-a591-4fc4-ad94-80a12ba4637b,"台北, 札幌",其他,20000 - 24999,無
264,5ac8e8a0-b855-4957-bf7f-77c9d6dff0cb,"函館, 北海道, 北海道大學, 夜景, 小樽, 小樽運河, 小樽音樂盒堂, 旭山動物園, 札幌, 海洋公園, 熊牧場, 高雄","夜間活動, 婚禮蜜月, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 豪華",45000 - 49999,無
265,5acb0a29-2554-4a4e-b7f7-31ce30cca244,台北,其他,5000 - 9999,無
266,5adbb3c8-2b06-4385-b2f1-c79b3f486b3e,"京都, 伏見稻荷大社, 六甲山, 北野, 北野異人館, 大阪, 大阪城, 奈良, 宇治, 宇治川, 嵐山, 平等院, 有馬溫泉, 東大寺, 東福寺, 清水寺, 環球影城, 神戶, 神戶動物王國, 神戶港, 金閣寺, 長谷寺, 高雄, 黑門市場","主題樂園, 文化歷史, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 藝文體驗, 親子旅遊, 豪華, 購物",40000 - 44999,"台中出發包機, 大阪, 環球影城, 骯骯骯骯骯"
267,5b3e8430-5cf8-4b04-802b-b9d5ca217c7f,"峽灣, 挪威","夜間活動, 火車旅遊, 自然景觀",155000 - 159999,北歐全選
268,5b450cd9-abc7-4f08-b8fd-0a2cf76441e2,"中尊寺, 仙台, 北野, 北野異人館, 十和田湖, 大阪, 奈良, 奧入瀨溪流, 富士, 嵐山, 東京, 東大寺, 河口湖, 環球影城, 角館, 銀山, 銀山溫泉街, 黑門市場","主題樂園, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 購物",45000 - 49999,無
269,5baebfac-7f61-4481-80b3-92a379327977,"沖繩, 石垣島, 美麗海水族館, 萬座毛, 釜山, 長崎, 首里城","其他, 海島旅遊, 自然景觀, 親子旅遊",0 - 4999,日本
270,5c1e20af-b6b7-42e1-a21e-ab02fe50887b,印度,其他,80000 - 84999,"中亞, 中東, 摩洛哥"
271,5c2068da-65fd-4628-9d62-5ae2e799262d,"國際通, 明洞, 沖繩, 海雲台, 跨海大橋, 那霸, 釜山, 首爾","主題樂園, 其他, 夜間活動, 海島旅遊, 火車旅遊, 美食, 自然景觀, 藝文體驗, 豪華, 購物, 雪景",20000 - 24999,"九州, 四國、中國地區, 沖繩, 韓國全選"
272,5c4e65c8-1a56-469d-8af3-43cad9c195c0,大阪,其他,10000 - 14999,大阪
273,5d7bc488-05ce-4b83-852a-f6d7f030e4bd,"台北, 屏東",其他,0 - 4999,無
274,5db40c03-57b7-42a4-afde-33ec6b593767,"六甲山, 函館, 北海道, 嘉義, 圓山動物園, 夜景, 大阪, 奈良, 富士, 小樽, 小樽音樂盒堂, 心齋橋, 日月潭, 旭山動物園, 札幌, 東京, 東大寺, 海洋公園, 清水寺, 熊牧場, 環球影城, 神戶, 阿里山, 高雄","主題樂園, 其他, 夜間活動, 文化歷史, 海島旅遊, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 藝文體驗, 親子旅遊, 雪景",30000 - 34999,"台南, 日本, 澎湖"
275,5de401e4-71d9-4bbe-9517-f0b40dcd4bed,"嘉義, 奮起湖, 苗栗, 高雄",自然景觀,0 - 4999,無
276,5e32d14b-53ef-4e23-9f48-d3b84f98a089,"函館, 北海道, 夜景","夜間活動, 溫泉之旅, 火車旅遊, 美食, 自然景觀",45000 - 49999,無
277,5e353546-94a9-411b-8cad-2529db9e026e,宜蘭,其他,0 - 4999,"台灣, 宜蘭縣"
278,5e9fe3c3-6bbb-4a5b-9a4b-d8895bb5de93,桃園,豪華,5000 - 9999,"新北, 桃園"
279,5efda46d-feef-45e4-8ec3-290a007f20a7,"凡爾賽, 巨石陣, 巴黎, 歐洲, 羅浮宮, 羊角村, 英法","文化歷史, 購物",105000 - 109999,無
280,5f2f891e-2759-47a4-b19e-1bec1756ac18,"台北, 宜蘭, 新北","其他, 自然景觀",0 - 4999,無
281,5f42e4d9-40a8-4ea6-b63d-70fabd2d3e72,"台中, 嘉義, 奮起湖, 宜蘭, 屏東, 平溪, 杉林溪, 阿里山","主題樂園, 其他, 文化歷史, 自然景觀, 豪華, 購物",0 - 4999,無
282,5fa0f259-f9e2-42a9-9d2a-7dfdd378504d,花蓮,其他,0 - 4999,ㄏㄨㄚㄌㄧㄢ
283,5fa47263-2abd-400b-bc71-aba82fd276dc,台中,文化歷史,0 - 4999,無
284,606d1898-254a-46cb-a72b-5ac48ee48081,"日月潭, 苗栗","其他, 文化歷史, 美食",0 - 4999,無
285,6094169b-0ecf-48d6-a668-bc72eec98250,"富士, 新宿, 東京, 箱根, 箱根海盜船","主題樂園, 溫泉之旅, 自然景觀, 購物",45000 - 49999,無
286,60c28671-6d5f-4230-92b1-86a73cf0f50b,札幌,其他,0 - 4999,無
287,60fa330c-c68a-465a-8af3-de6039172990,高雄,其他,0 - 4999,無
288,613b5473-fc18-4fb1-8d41-8e9701610257,"伏見稻荷大社, 台中, 大阪, 太宗台, 海雲台, 清水寺, 環球影城, 金閣寺, 釜山, 香港, 香港迪士尼樂園","主題樂園, 其他, 文化歷史, 火車旅遊, 自然景觀, 親子旅遊",20000 - 24999,"紐約, 香港"
289,6263c065-68a6-4b7a-831e-1f8dc34d8830,"台北, 首爾",其他,5000 - 9999,首爾-SEOUL(SEL)
290,628cbfea-9d7c-40b7-83e9-a9323192d24a,"伏見稻荷大社, 北野, 北野異人館, 大阪, 奈良, 嵐山, 有馬溫泉, 東大寺, 清水寺, 環球影城, 金閣寺, 高雄","主題樂園, 文化歷史, 溫泉之旅, 自然景觀",35000 - 39999,無
291,62ceac9c-190c-4548-9118-69ad4d8a2ff2,"法國, 羅浮宮",購物,55000 - 59999,無
292,6370ace1-ea3d-4660-93e8-c649f9dbe02a,"明洞, 海雲台, 釜山, 首爾, 高雄","主題樂園, 其他, 海島旅遊, 火車旅遊, 自然景觀, 豪華, 購物, 雪景",35000 - 39999,無
293,6378cd56-523f-415b-b176-d9c54331bc2f,"哈修塔特, 布達佩斯, 維也納","婚禮蜜月, 自然景觀",95000 - 99999,無
294,64f67a80-558e-44bb-b061-d3367778313b,"倫敦, 劍橋, 大英博物館, 巴黎, 愛丁堡, 比利時, 牛津, 羅浮宮, 羊角村, 英國, 英荷比法, 阿姆斯特丹","其他, 文化歷史, 自然景觀, 購物",95000 - 99999,無
295,65102b9d-879b-405f-b34c-cb46b609b70f,"雲林, 高雄",自然景觀,0 - 4999,無
296,65886cd6-1650-43ad-af48-4f46484331a7,"台北, 沖繩, 那霸, 阿里山","其他, 火車旅遊, 自然景觀, 豪華",25000 - 29999,夏威夷
297,65a1bb01-929a-4ad0-88a9-2e8825ca3bb5,"九份, 台北, 宜蘭, 故宮, 梅花湖, 花蓮, 西門町, 阿里山, 龜山島","其他, 海島旅遊, 美食, 自然景觀",10000 - 14999,"一日遊, 鳴日號"
298,65ad7c4e-2e2f-4ee3-a2ab-f6130118dd3f,"環球影城, 芬蘭, 阿拉斯加","主題樂園, 溫泉之旅, 火車旅遊, 美食, 自然景觀, 雪景",120000 - 124999,無
299,65cc1cad-813f-44f8-baa8-d7a508673ca0,"36古街, 高雄","海島旅遊, 自然景觀",35000 - 39999,越南
